reach,year,length_UO,length_UT,length_UT_butte,gravel_UO,gravel_UT,gravel_UT_butte,redds_UO,redds_UT,redds_UT_butte
North Yuba River above New Bullards Bar Reservoir,2008,0,7.7,11.4,0,17,29,0,183,305
North Yuba River above New Bullards Bar Reservoir,2009,0,7.6,11.2,0,17,29,0,179,304
North Yuba River above New Bullards Bar Reservoir,2010,6.6,24,25.5,12,197,202,129,"2,094","2,153"
North Yuba River above New Bullards Bar Reservoir,2011,23.4,33.7,33.7,195,316,316,"2,069","3,358","3,358"
Middle Yuba River,2008,3.3,7.5,8.5,4,19,22,44,206,238
Middle Yuba River,2009,3.7,7.2,8.1,5,18,21,51,190,224
Middle Yuba River,2010,4.6,9.8,11.4,5,25,36,55,264,379
Middle Yuba River,2011,5.7,12.3,14.8,10,42,57,110,451,606
South Yuba River,2008,0,0,0,0,0,0,0,0,0
South Yuba River,2009,0,0,0,0,0,0,0,0,0
South Yuba River,2010,0,0,0,0,0,0,0,0,0
South Yuba River,2011,0,3,3.5,0,4,5,0,40,48
North Yuba River below New Bullards Bar Dam,2008,2.3,2.3,2.3,L,L,L,L,L,L
North Yuba River below New Bullards Bar Dam,2009,2.3,2.3,2.3,L,L,L,L,L,L
North Yuba River below New Bullards Bar Dam,2010,2.3,2.3,2.3,L,L,L,L,L,L
North Yuba River below New Bullards Bar Dam,2011,2.3,2.3,2.3,L,L,L,L,L,L
Yuba River above New Colgate Powerhouse,2008,0,0,0,L,L,L,L,L,L
Yuba River above New Colgate Powerhouse,2009,0,0,0,L,L,L,L,L,L
Yuba River above New Colgate Powerhouse,2010,0,0,0,L,L,L,L,L,L
Yuba River above New Colgate Powerhouse,2011,0,0,0,L,L,L,L,L,L
Yuba River from New Colgate Powerhouse to Englebright Reservoir,2008,1.7,1.7,1.7,6,6,6,59,59,59
Yuba River from New Colgate Powerhouse to Englebright Reservoir,2009,1.7,1.7,1.7,6,6,6,59,59,59
Yuba River from New Colgate Powerhouse to Englebright Reservoir,2010,1.7,1.7,1.7,6,6,6,59,59,59
Yuba River from New Colgate Powerhouse to Englebright Reservoir,2011,1.7,1.7,1.7,6,6,6,59,59,59
Lower Yuba River below Englebright Dam to Feather River,2008,17.9,24,24,"6,646","7,597","7,597","70,707","80,818","80,818"
Lower Yuba River below Englebright Dam to Feather River,2009,18,24,24,"6,704","7,656","7,656","71,316","81,442","81,442"
Lower Yuba River below Englebright Dam to Feather River,2010,18.5,24,24,"6,821","7,692","7,692","72,567","81,833","81,833"
Lower Yuba River below Englebright Dam to Feather River,2011,18.1,24,24,"6,745","7,672","7,672","71,752","81,613","81,613"